epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,156.108,1.40457,0.99563,1.14381,0.66641,0.66216,0.66358,0.34631,1.67291,1.19283,1.28456,0.00183764,0.00183764,0.00183764
43,163.85,1.38354,1.01033,1.12283,0.67638,0.67568,0.66078,0.33128,1.72556,1.22847,1.29572,0.00183368,0.00183368,0.00183368
44,172.392,1.35474,0.97342,1.13633,0.70588,0.5838,0.63256,0.34154,1.69469,1.3511,1.28138,0.00182972,0.00182972,0.00182972
45,180.278,1.38659,0.94126,1.12574,0.75243,0.62162,0.70512,0.37523,1.65069,1.20804,1.31627,0.00182576,0.00182576,0.00182576
46,187.753,1.33438,0.9553,1.1056,0.77164,0.63514,0.71625,0.38256,1.69017,1.30423,1.37644,0.0018218,0.0018218,0.0018218
47,199.597,1.31956,0.91175,1.09452,0.74925,0.71622,0.75565,0.39683,1.57337,1.27158,1.28316,0.00181784,0.00181784,0.00181784
48,207.836,1.34532,0.94567,1.10788,0.74224,0.66216,0.75336,0.38412,1.56691,1.14519,1.26197,0.00181388,0.00181388,0.00181388
49,217.032,1.35399,0.92988,1.12733,0.72925,0.67568,0.73354,0.38467,1.64442,1.23624,1.29332,0.00180992,0.00180992,0.00180992
50,225.639,1.36646,0.98151,1.11888,0.80717,0.56757,0.67264,0.35755,1.68933,1.25126,1.26802,0.00180596,0.00180596,0.00180596
51,235.586,1.32501,0.95942,1.0991,0.70564,0.61556,0.69509,0.39622,1.57881,1.27638,1.23291,0.001802,0.001802,0.001802
52,245.589,1.30197,0.9441,1.10664,0.72277,0.62162,0.69033,0.3586,1.63769,1.29923,1.28958,0.00179804,0.00179804,0.00179804
53,254.624,1.31195,0.88927,1.10198,0.69004,0.7027,0.68314,0.35628,1.6696,1.13129,1.31333,0.00179408,0.00179408,0.00179408
54,262.968,1.34067,0.88529,1.08001,0.78123,0.6274,0.72789,0.3886,1.6901,1.14855,1.27891,0.00179012,0.00179012,0.00179012
55,271.636,1.27435,0.88114,1.07805,0.84299,0.65302,0.75488,0.42356,1.55325,1.09192,1.26788,0.00178616,0.00178616,0.00178616
56,281.106,1.25824,0.90143,1.09035,0.67455,0.68919,0.69992,0.38066,1.5462,1.2268,1.26941,0.0017822,0.0017822,0.0017822
57,289.043,1.25892,0.86494,1.05141,0.68327,0.64865,0.67701,0.35597,1.60633,1.24148,1.29926,0.00177824,0.00177824,0.00177824
58,297.657,1.29887,0.86124,1.09767,0.64107,0.6517,0.6744,0.37236,1.58334,1.37208,1.2545,0.00177428,0.00177428,0.00177428
59,305.387,1.26085,0.82146,1.08987,0.68178,0.62162,0.66437,0.35458,1.60497,1.32722,1.25581,0.00177032,0.00177032,0.00177032
60,313.389,1.28095,0.87617,1.07756,0.74937,0.5657,0.65414,0.37225,1.60323,1.35147,1.25126,0.00176636,0.00176636,0.00176636
61,322.135,1.28412,0.88204,1.07595,0.75939,0.59713,0.72656,0.41011,1.55065,1.15447,1.24681,0.0017624,0.0017624,0.0017624
62,330.745,1.26212,0.84372,1.07024,0.74513,0.62162,0.68579,0.34777,1.717,1.21449,1.30221,0.00175844,0.00175844,0.00175844
63,339.138,1.2592,0.82237,1.09854,0.74473,0.60811,0.75139,0.38247,1.68485,1.15968,1.28089,0.00175448,0.00175448,0.00175448
64,347.575,1.31266,0.90127,1.12504,0.61792,0.83784,0.73811,0.39485,1.67138,1.15688,1.27788,0.00175052,0.00175052,0.00175052
65,356.67,1.27502,0.86178,1.09352,0.58668,0.80567,0.70311,0.34437,1.6043,1.39579,1.277,0.00174656,0.00174656,0.00174656
66,364.532,1.30873,0.87466,1.09112,0.71044,0.62999,0.67485,0.34742,1.71188,1.28798,1.33368,0.0017426,0.0017426,0.0017426
67,372.012,1.26616,0.89648,1.07139,0.56059,0.74324,0.68667,0.34737,1.57627,1.29236,1.24861,0.00173864,0.00173864,0.00173864
68,380.75,1.20678,0.84101,1.05351,0.59726,0.74324,0.66581,0.353,1.62733,1.22088,1.24432,0.00173468,0.00173468,0.00173468
69,388.446,1.2626,0.82748,1.09641,0.64559,0.66216,0.63245,0.32829,1.63534,1.43144,1.26844,0.00173072,0.00173072,0.00173072
70,396.046,1.29789,0.84997,1.06716,0.69325,0.58027,0.65216,0.35823,1.56867,1.35109,1.2457,0.00172676,0.00172676,0.00172676
71,403.556,1.24525,0.83199,1.06627,0.7184,0.55405,0.6446,0.34808,1.65414,1.44745,1.30192,0.0017228,0.0017228,0.0017228
72,411.277,1.29223,0.87422,1.08951,0.68713,0.66216,0.66866,0.37478,1.55803,1.34933,1.26586,0.00171884,0.00171884,0.00171884
73,420.079,1.18867,0.79918,1.02093,0.68438,0.64468,0.65362,0.34659,1.58794,1.43892,1.25824,0.00171488,0.00171488,0.00171488
74,428.802,1.18421,0.78523,1.04654,0.59671,0.63987,0.63635,0.3314,1.64628,1.32965,1.29096,0.00171092,0.00171092,0.00171092
75,437.176,1.24666,0.84413,1.07646,0.63241,0.651,0.6709,0.35956,1.63109,1.26037,1.26579,0.00170696,0.00170696,0.00170696
76,445.813,1.28065,0.87545,1.0739,0.70806,0.72973,0.76391,0.39219,1.64004,1.29417,1.29425,0.001703,0.001703,0.001703
77,454.649,1.1996,0.82405,1.05655,0.68991,0.78378,0.76346,0.36685,1.7199,1.31298,1.31432,0.00169904,0.00169904,0.00169904
78,462.97,1.12921,0.75119,1.02433,0.69572,0.64865,0.72814,0.3818,1.63686,1.15113,1.28856,0.00169508,0.00169508,0.00169508
79,470.565,1.21394,0.79712,1.03968,0.738,0.72973,0.75334,0.36633,1.61114,1.09488,1.29672,0.00169112,0.00169112,0.00169112
